candidate_name,party_name_expanded,secured_votes,percentage_of_votes,state_name,constituency_name,party_name
KULURU RAMA KRISHNA REDDY,Neethi Nijayithi Party,430,0.03,Andhra Pradesh,Nandyal,NNP
CH P MALLESWARUDU,Independent,421,0.03,Andhra Pradesh,Nandyal,IND
I V PAKKIR REDDY,Independent,410,0.03,Andhra Pradesh,Nandyal,IND
V MADHUSUDHANA REDDY,Independent,401,0.03,Andhra Pradesh,Nandyal,IND
BUSHAKU MAHESWARA REDDY,Independent,390,0.03,Andhra Pradesh,Nandyal,IND
U P MUNI REDDY,Independent,376,0.03,Andhra Pradesh,Nandyal,IND
GOGULA SUGUNAMMA,Jai Maha Bharath Party,379,0.03,Andhra Pradesh,Nandyal,JMBP
BELLAMKONDA SREENIVASULU,Independent,353,0.03,Andhra Pradesh,Nandyal,IND
BALIJA SHIVA KUMAR,Independent,288,0.02,Andhra Pradesh,Nandyal,IND
NOTA,None of the Above,10697,0.76,Andhra Pradesh,Nandyal,NA
BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,707343,57.46,Andhra Pradesh,Narsapuram,BJP
UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,430541,34.98,Andhra Pradesh,Narsapuram,YSRCP
K.B.R.NAIDU,Indian National Congress,35213,2.86,Andhra Pradesh,Narsapuram,INC
PRASANNA KUMAR UNDURTHI,Independent,6364,0.52,Andhra Pradesh,Narsapuram,IND
MEDAPATI VENKATA VARAHALA REDDY,Independent,5969,0.48,Andhra Pradesh,Narsapuram,IND
SIRRA RAJU,Bahujan Samaj Party,6014,0.49,Andhra Pradesh,Narsapuram,BSP
BALAGAM NAYAKAR,Independent,5240,0.43,Andhra Pradesh,Narsapuram,IND
NALLI RAJESH,Independent,4684,0.38,Andhra Pradesh,Narsapuram,IND
KETHA SREENU,Independent,3145,0.26,Andhra Pradesh,Narsapuram,IND
OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party,3116,0.25,Andhra Pradesh,Narsapuram,JRBP
ADDEPALLI VEERA VENKAT SUBBA RAO,Independent,2783,0.23,Andhra Pradesh,Narsapuram,IND
ANAND CHANDULAL JASTI,Independent,2726,0.22,Andhra Pradesh,Narsapuram,IND
GANJI PURNIMA,Republican Party of India (A),1649,0.13,Andhra Pradesh,Narsapuram,RPI ()
GEDALA LAXMANA RAO,Independent,1527,0.12,Andhra Pradesh,Narsapuram,IND
ADDANKI DORABABU,Independent,1393,0.11,Andhra Pradesh,Narsapuram,IND
GOTTUMUKKALA SHIVAJI,Independent,1384,0.11,Andhra Pradesh,Narsapuram,IND
ADINARAYANA DUPPANAPUDI,Independent,1007,0.08,Andhra Pradesh,Narsapuram,IND
MANNE LEELA RAMA NARENDRA,Pyramid Party of India,930,0.08,Andhra Pradesh,Narsapuram,PPI
RAMA DURGA PRASAD THOLETI,Independent,920,0.07,Andhra Pradesh,Narsapuram,IND
RUKHMINI,Independent,686,0.06,Andhra Pradesh,Narsapuram,IND
ADABALA SIVA,Independent,683,0.06,Andhra Pradesh,Narsapuram,IND
NOTA,None of the Above,7677,0.62,Andhra Pradesh,Narsapuram,NA
LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,807996,53.88,Andhra Pradesh,Narsaraopet,TD
ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,648267,43.23,Andhra Pradesh,Narsaraopet,YSRCP
GARNEPUDI ALEXANDER SUDHAKAR,Indian National Congress,18046,1.2,Andhra Pradesh,Narsaraopet,INC
ORSU PREMARAJU,Bahujan Samaj Party,5309,0.35,Andhra Pradesh,Narsaraopet,BSP
KUCHIPUDI JOHN BABU,Jaibhim Rao Bharat Party,2336,0.16,Andhra Pradesh,Narsaraopet,JRBP
GARLAPATI SUBHASH PREM,Revolutionary Socialist Party,1245,0.08,Andhra Pradesh,Narsaraopet,RSP
YAMPATI VEERANJANEYA REDDY,Independent,1057,0.07,Andhra Pradesh,Narsaraopet,IND
SUBBARAO CHALLA,Independent,1051,0.07,Andhra Pradesh,Narsaraopet,IND
ABDUL RAJAK SHAIK,Independent,723,0.05,Andhra Pradesh,Narsaraopet,IND
KOTA POTHURAJU,Pyramid Party of India,670,0.04,Andhra Pradesh,Narsaraopet,PPI
P VENKATESH,Jaathia Chethi Vruthula Ikya Vedika Party,388,0.03,Andhra Pradesh,Narsaraopet,JCVIVP
PASUPULETI PICHAIAH,National Nava Kranthi Party,356,0.02,Andhra Pradesh,Narsaraopet,NNKP
PAPPULA SAMBASIVA RAO,Navarang Congress Party,332,0.02,Andhra Pradesh,Narsaraopet,NCP
DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party,309,0.02,Andhra Pradesh,Narsaraopet,JJSP
THOKALA NAGA RAJU,All India Forward Bloc,285,0.02,Andhra Pradesh,Narsaraopet,AIFB
NOTA,None of the Above,11199,0.75,Andhra Pradesh,Narsaraopet,NA
PRABHAKAR REDDY VEMIREDDY,Telugu Desam,766202,55.7,Andhra Pradesh,Nellore,TD
VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,520300,37.82,Andhra Pradesh,Nellore,YSRCP
KOPPULA RAJU,Indian National Congress,54844,3.99,Andhra Pradesh,Nellore,INC
BHASKAR NASINA,Bahujan Samaj Party,5811,0.42,Andhra Pradesh,Nellore,BSP
VIVEKA MANNEPALLI,Revolutionary Socialist Party,2804,0.2,Andhra Pradesh,Nellore,RSP
KOPPALA RAGHU,Independent,2015,0.15,Andhra Pradesh,Nellore,IND
GAJULA SOMA SEKHAR,Jai Bharat National Party,1779,0.13,Andhra Pradesh,Nellore,JBNP
SHAIK MUZIBUR RAHAMAN,Pyramid Party of India,1330,0.1,Andhra Pradesh,Nellore,PPI
SHAIK MAHABOOB BASHA (MABU),Republican Party of India (A),1233,0.09,Andhra Pradesh,Nellore,RPI ()
MALLEPALLY RAGHU,Navarang Congress Party,1105,0.08,Andhra Pradesh,Nellore,NCP
SHAIK SHAFI AHMED,All India Forward Bloc,1037,0.08,Andhra Pradesh,Nellore,AIFB
NAKKA DINESH,Bharatha Chaitanya Yuvajana Party,600,0.04,Andhra Pradesh,Nellore,BCYP
TALARI VENKATAIAH,Jaibhim Rao Bharat Party,558,0.04,Andhra Pradesh,Nellore,JRBP
PUNGANURU PRASANNA GANAPATHI,Radical Party of India (Ambedkarist),454,0.03,Andhra Pradesh,Nellore,RPI (A)
NOTA,None of the Above,15577,1.13,Andhra Pradesh,Nellore,NA
MAGUNTA SREENIVASULU REDDY,Telugu Desam,701894,49.35,Andhra Pradesh,Ongole,TD
DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,651695,45.82,Andhra Pradesh,Ongole,YSRCP
EDA SUDHAKARA REDDY,Indian National Congress,26722,1.88,Andhra Pradesh,Ongole,INC
DHARANIKOTA LAKSHMI NARAYANA,Bahujan Samaj Party,6314,0.44,Andhra Pradesh,Ongole,BSP
BUCHI EDUKONDALU,Independent,3048,0.21,Andhra Pradesh,Ongole,IND
PODILI RAMBABU,Independent,3073,0.22,Andhra Pradesh,Ongole,IND
ORSU VEENA,Jai Bharat National Party,2267,0.16,Andhra Pradesh,Ongole,JBNP
BONTHA RANGA REDDY,Independent,1923,0.14,Andhra Pradesh,Ongole,IND
BODDU KRANTHI KUMAR,Independent,1798,0.13,Andhra Pradesh,Ongole,IND
MOHAN GOUD J V,Independent,1447,0.1,Andhra Pradesh,Ongole,IND
U MADHU BABU,Independent,1008,0.07,Andhra Pradesh,Ongole,IND
KARATAPU RAJU,Independent,735,0.05,Andhra Pradesh,Ongole,IND
JAGADEESH RAYAPATI,Independent,725,0.05,Andhra Pradesh,Ongole,IND
DEVIREDDY BALANJANEYULU,Independent,716,0.05,Andhra Pradesh,Ongole,IND
HARI PRASAD TUPAKULA,Independent,711,0.05,Andhra Pradesh,Ongole,IND
PASAM VENKATESWARLU YADAV,Samajwadi Party,743,0.05,Andhra Pradesh,Ongole,SP
SURYA TEJA KOTA,Pyramid Party of India,683,0.05,Andhra Pradesh,Ongole,PPI
AKUMALLA MALLIKARJUNA REDDY,Independent,575,0.04,Andhra Pradesh,Ongole,IND
VESHAPOGU GURAVABABU,Independent,461,0.03,Andhra Pradesh,Ongole,IND
KOMMU YOHANU,Liberation Congress Party,461,0.03,Andhra Pradesh,Ongole,LCP
SESHUBABU GUDDANTI,Independent,449,0.03,Andhra Pradesh,Ongole,IND
SINGAMNENI SREEKANTH,Independent,410,0.03,Andhra Pradesh,Ongole,IND
YARRA DASARADHARAMAIAH,Independent,394,0.03,Andhra Pradesh,Ongole,IND
KOTA VAMSI KRISHNA,Independent,365,0.03,Andhra Pradesh,Ongole,IND
K PAVAN KALYAN,Jatiya Jana Sena Party,392,0.03,Andhra Pradesh,Ongole,JJSP
NOTA,None of the Above,13205,0.93,Andhra Pradesh,Ongole,NA
DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,726515,54.82,Andhra Pradesh,Rajahmundry,BJP
DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,487376,36.77,Andhra Pradesh,Rajahmundry,YSRCP
GIDUGU RUDRARAJU,Indian National Congress,32508,2.45,Andhra Pradesh,Rajahmundry,INC
GANESWARA RAO PARAMATA,Bahujan Samaj Party,20409,1.54,Andhra Pradesh,Rajahmundry,BSP
BATTULA BALARAMAKRISHNA,Navarang Congress Party,17008,1.28,Andhra Pradesh,Rajahmundry,NCP
SALOPANTULA RAGHAVENDRA RAO,Independent,3278,0.25,Andhra Pradesh,Rajahmundry,IND
DR. MEDISI RATNARAO ALIAS VINAY,Independent,3115,0.24,Andhra Pradesh,Rajahmundry,IND
MOHANARAO SINGULURI,Jai Bharat National Party,2833,0.21,Andhra Pradesh,Rajahmundry,JBNP
MEDA SRINIVASA RAO,Rashtriya Praja Congress (Secular),2429,0.18,Andhra Pradesh,Rajahmundry,RPC (S)
BOMMANABOINA VSR MURTHY,Independent,2179,0.16,Andhra Pradesh,Rajahmundry,IND
BHANU CHANDAR KURUVELLA,Independent,1958,0.15,Andhra Pradesh,Rajahmundry,IND
JALLI BALA NAVEENA,Independent,1254,0.09,Andhra Pradesh,Rajahmundry,IND
NOTA,None of the Above,24435,1.84,Andhra Pradesh,Rajahmundry,NA
P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,644844,48.38,Andhra Pradesh,Rajampet,YSRCP
NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,568773,42.67,Andhra Pradesh,Rajampet,BJP
SHAIK BASHEED,Indian National Congress,53300,4,Andhra Pradesh,Rajampet,INC
ABBAVARAM UGENDRA,Bahujan Samaj Party,12363,0.93,Andhra Pradesh,Rajampet,BSP
POOLA REDDY SEKHAR,Independent,6100,0.46,Andhra Pradesh,Rajampet,IND
NAGARAJU JETTI,Independent,5999,0.45,Andhra Pradesh,Rajampet,IND
PRADEEP PENAMADU,All India Forward Bloc,5672,0.43,Andhra Pradesh,Rajampet,AIFB
CHOUDVARAM SUBBANARASAIAH,Independent,4735,0.36,Andhra Pradesh,Rajampet,IND
PULI SREENIVASULU,Independent,4616,0.35,Andhra Pradesh,Rajampet,IND
SREENIVASULU MARRIPATI,Independent,4443,0.33,Andhra Pradesh,Rajampet,IND
AKBAR M BASHA,Anna YSR Congress Party,2411,0.18,Andhra Pradesh,Rajampet,AYCP
SANGARAJU NAGESWARA RAJU,Independent,1535,0.12,Andhra Pradesh,Rajampet,IND
MADA RAJA,Jaathia Chethi Vruthula Ikya Vedika Party,1415,0.11,Andhra Pradesh,Rajampet,JCVIVP
BATTHALA RAMANAIAH,Jai Bharat National Party,1366,0.1,Andhra Pradesh,Rajampet,JBNP
DODDAPANENI RAJA NAIDU,Independent,1318,0.1,Andhra Pradesh,Rajampet,IND
MAYANA MOHAMMED SALMAN KHAN,Liberation Congress Party,1071,0.08,Andhra Pradesh,Rajampet,LCP
KASTURI OBAIAH NAIDU,Independent,887,0.07,Andhra Pradesh,Rajampet,IND
ASADI VENKATADRI,Independent,691,0.05,Andhra Pradesh,Rajampet,IND
NOTA,None of the Above,11400,0.86,Andhra Pradesh,Rajampet,NA
KINJARAPU RAMMOHAN NAIDU,Telugu Desam,754328,61.05,Andhra Pradesh,Srikakulam,TD
TILAK PERADA,Yuvajana Sramika Rythu Congress Party,426427,34.51,Andhra Pradesh,Srikakulam,YSRCP
PEDADA PARAMESWARA RAO,Indian National Congress,7172,0.58,Andhra Pradesh,Srikakulam,INC
SANAPALA SRAVAN KUMAR,Independent,5958,0.48,Andhra Pradesh,Srikakulam,IND
NAIDUGARI RAJASEKHAR,Bahujan Samaj Party,4742,0.38,Andhra Pradesh,Srikakulam,BSP
VABA YOGESWARA RAO,Independent,3598,0.29,Andhra Pradesh,Srikakulam,IND
BETHA VIVEKANANDA MAHARAJ,Independent,2536,0.21,Andhra Pradesh,Srikakulam,IND
YEDDU LAKSHMINARAYANA,Independent,1605,0.13,Andhra Pradesh,Srikakulam,IND
BORUBADRA CHANDRAKALA,Bharatha Chaitanya Yuvajana Party,1357,0.11,Andhra Pradesh,Srikakulam,BCYP
IPPILI SEETHARAJU,Jai Bharat National Party,1130,0.09,Andhra Pradesh,Srikakulam,JBNP
KAYA DURGARAO,Navarang Congress Party,818,0.07,Andhra Pradesh,Srikakulam,NCP
CHELLURI DANIYAL,Independent,816,0.07,Andhra Pradesh,Srikakulam,IND
BOMMALI TIRUPATI RAO,Pyramid Party of India,594,0.05,Andhra Pradesh,Srikakulam,PPI
NOTA,None of the Above,24605,1.99,Andhra Pradesh,Srikakulam,NA
GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,632228,45.73,Andhra Pradesh,Thirupathi(SC),YSRCP
VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,617659,44.67,Andhra Pradesh,Thirupathi(SC),BJP
CHINTA MOHAN,Indian National Congress,65523,4.74,Andhra Pradesh,Thirupathi(SC),INC
PENUMURU. GURAPPA,Bahujan Samaj Party,10506,0.76,Andhra Pradesh,Thirupathi(SC),BSP
KATTAMANCHI. PRABHAKAR,Independent,5802,0.42,Andhra Pradesh,Thirupathi(SC),IND
M UMADEVI,Janata Congress,5425,0.39,Andhra Pradesh,Thirupathi(SC),JC
ALLAM.RAJA,Independent,4970,0.36,Andhra Pradesh,Thirupathi(SC),IND
VIJAY KUMAR G.SRKR,Liberation Congress Party,4302,0.31,Andhra Pradesh,Thirupathi(SC),LCP
ANJAIAH.P,Republican Party of India (A),3666,0.27,Andhra Pradesh,Thirupathi(SC),RPI ()
V.C. NAVEEN GUPTA,Independent,1731,0.13,Andhra Pradesh,Thirupathi(SC),IND
A. VARAPRASAD,Jatiya Jana Sena Party,1698,0.12,Andhra Pradesh,Thirupathi(SC),JJSP
SYAMDHAN KURAPATI,Aihra National Party,1568,0.11,Andhra Pradesh,Thirupathi(SC),ANP
C. PUNYAMURTHY,United Republican Party of India,1515,0.11,Andhra Pradesh,Thirupathi(SC),URPI
KARRA SIVA,Pyramid Party of India,1510,0.11,Andhra Pradesh,Thirupathi(SC),PPI
VELURU. THEJOVATHI,Samajwadi Party,1389,0.1,Andhra Pradesh,Thirupathi(SC),SP
C. DAVID,Indian Believers Party (IBP),1239,0.09,Andhra Pradesh,Thirupathi(SC),IBP (I)
K. JEEVARATHNAM,Independent,1204,0.09,Andhra Pradesh,Thirupathi(SC),IND
DASARI. GOWTHAM,Independent,1087,0.08,Andhra Pradesh,Thirupathi(SC),IND
VIJAYA KUMAR.G,Independent,801,0.06,Andhra Pradesh,Thirupathi(SC),IND
A. MADHU,Jai Hindustan Party,711,0.05,Andhra Pradesh,Thirupathi(SC),JHP
B. BHARANI BAS,Ambedkar National Congress,688,0.05,Andhra Pradesh,Thirupathi(SC),ANC
Y. MAHESH,Independent,622,0.04,Andhra Pradesh,Thirupathi(SC),IND
PRASAD PATIBANDLA,Independent,608,0.04,Andhra Pradesh,Thirupathi(SC),IND
NOTA,None of the Above,16118,1.17,Andhra Pradesh,Thirupathi(SC),NA
KESINENI SIVANATH (CHINNI),Telugu Desam,794154,58.21,Andhra Pradesh,Vijayawada,TD
KESINENI SRINIVAS (NANI),Yuvajana Sramika Rythu Congress Party,512069,37.53,Andhra Pradesh,Vijayawada,YSRCP
BHARGAV VALLURU,Indian National Congress,24106,1.77,Andhra Pradesh,Vijayawada,INC
KRISHNA KISHORE YANAMANDRA,Navataram Party,7878,0.58,Andhra Pradesh,Vijayawada,NP
VENKATA ASHOK PAPPURI,Independent,6672,0.49,Andhra Pradesh,Vijayawada,IND
DEVARAPALLI MALLIKARJUNA RAO (MAHESH),Independent,3199,0.23,Andhra Pradesh,Vijayawada,IND
MEKA VENKATESWARA RAO,Bahujan Samaj Party,2233,0.16,Andhra Pradesh,Vijayawada,BSP
ANIL KUMAR MADDINENI,Independent,1240,0.09,Andhra Pradesh,Vijayawada,IND
BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),Telugu Rajadhikara Samiti Party,615,0.05,Andhra Pradesh,Vijayawada,TRSP
SYED KHAMURUNNISA,Navarang Congress Party,601,0.04,Andhra Pradesh,Vijayawada,NCP
CHAGANTIPATI GANGADHAR GANDHI,Pyramid Party of India,489,0.04,Andhra Pradesh,Vijayawada,PPI
DATLA LURTHU MERI,Jaibhim Rao Bharat Party,417,0.03,Andhra Pradesh,Vijayawada,JRBP
PERAM SIVA NAGESWARA RAO,Republican Party of India (Athawale),368,0.03,Andhra Pradesh,Vijayawada,RPI (A)
DEVARASETTY RAVEENDRA BABU,Andhra Rastra Praja Samithi,331,0.02,Andhra Pradesh,Vijayawada,ARPS
GUJJULA LALITHA,Socialist Unity Centre Of India (COMMUNIST),327,0.02,Andhra Pradesh,Vijayawada,SUCI (C)
N DASARADHA RAMI REDDY,All India Jaihind Party,269,0.02,Andhra Pradesh,Vijayawada,AIJP
CHINTHALACHERUVU HEMALATHA,Jai Maha Bharath Party,244,0.02,Andhra Pradesh,Vijayawada,JMBP
NOTA,None of the Above,9193,0.67,Andhra Pradesh,Vijayawada,NA
SRIBHARAT MATHUKUMILI,Telugu Desam,907467,65.42,Andhra Pradesh,Visakhapatnam,TD
JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,403220,29.07,Andhra Pradesh,Visakhapatnam,YSRCP
P. SATYA REDDY,Indian National Congress,30267,2.18,Andhra Pradesh,Visakhapatnam,INC
K.A. PAUL,Praja Shanthi Party,7696,0.55,Andhra Pradesh,Visakhapatnam,PSP
PEDAPENKI SIVA PRASADA RAO,Bahujan Samaj Party,6091,0.44,Andhra Pradesh,Visakhapatnam,BSP
BIKKAVOLU. CHALAMAJI,Navarang Congress Party,4884,0.35,Andhra Pradesh,Visakhapatnam,NCP
V.N. SATYA NARAYANA,Rashtriya Praja Congress (Secular),2537,0.18,Andhra Pradesh,Visakhapatnam,RPC (S)
ARUNA SRI MURALA,Independent,1993,0.14,Andhra Pradesh,Visakhapatnam,IND
VASUPILLI SURESH,Independent,1933,0.14,Andhra Pradesh,Visakhapatnam,IND
SONDI KRISHNA.,Independent,1818,0.13,Andhra Pradesh,Visakhapatnam,IND
ANDUKURI VIJAYA BHASKAR,India Praja Bandhu Party,1109,0.08,Andhra Pradesh,Visakhapatnam,IPBP
DR. GANAPATHI KONGARAPU.,Republican Party of India (A),950,0.07,Andhra Pradesh,Visakhapatnam,RPI ()
BANNA. RAMESH,Dalita Bahujana Party,948,0.07,Andhra Pradesh,Visakhapatnam,DBP
P. SATYA VANI,Pyramid Party of India,882,0.06,Andhra Pradesh,Visakhapatnam,PPI
DURGA PRASAD. GUNTU,Bhartiya Rashtriya Dal,767,0.06,Andhra Pradesh,Visakhapatnam,BRD
CHAPPIDI RAMU,Independent,757,0.05,Andhra Pradesh,Visakhapatnam,IND
M.G.M. KHAN,Independent,742,0.05,Andhra Pradesh,Visakhapatnam,IND
SHANKAR DEVARA YADAV,Independent,661,0.05,Andhra Pradesh,Visakhapatnam,IND
VENU MADHAV KARRI,Independent,647,0.05,Andhra Pradesh,Visakhapatnam,IND
DR. ACHUTHA BALAJI YADAV (MURAPALA),Bharatha Chaitanya Yuvajana Party,638,0.05,Andhra Pradesh,Visakhapatnam,BCYP
THOTA VENKATA SAI MUKUND,Praja Prasthanam Party,633,0.05,Andhra Pradesh,Visakhapatnam,PPP
PIDIDHI APPARAO,Independent,580,0.04,Andhra Pradesh,Visakhapatnam,IND
G.A.N. ANAND,Independent,543,0.04,Andhra Pradesh,Visakhapatnam,IND
VADDI. HARI GANESH,Independent,520,0.04,Andhra Pradesh,Visakhapatnam,IND
JANARDHAN PONNADA.,Independent,500,0.04,Andhra Pradesh,Visakhapatnam,IND
GANAPATHI. JAGADEESWARA RAO (JAGADEESH),Jai Maha Bharath Party,500,0.04,Andhra Pradesh,Visakhapatnam,JMBP
JALADI VIJAYA KUMARI,Samajwadi Party,466,0.03,Andhra Pradesh,Visakhapatnam,SP
CHINTADA SURYAM,Naba Bharata Nirmana Seva Party,448,0.03,Andhra Pradesh,Visakhapatnam,NBNSP
GANDIKOTA RAJESH,Navataram Party,393,0.03,Andhra Pradesh,Visakhapatnam,NP
KOLLI NAGA RAJU,Independent,329,0.02,Andhra Pradesh,Visakhapatnam,IND
METTA RAMA RAO,Independent,326,0.02,Andhra Pradesh,Visakhapatnam,IND
LAGUDU. GOVINDA RAO,Independent,294,0.02,Andhra Pradesh,Visakhapatnam,IND
MALLA SRAVANI,Independent,273,0.02,Andhra Pradesh,Visakhapatnam,IND
NOTA,None of the Above,5313,0.38,Andhra Pradesh,Visakhapatnam,NA
APPALANAIDU KALISETTI,Telugu Desam,743113,57.2,Andhra Pradesh,Vizianagaram,TD
BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,493762,38,Andhra Pradesh,Vizianagaram,YSRCP
BOBBILI SRINU,Indian National Congress,10623,0.82,Andhra Pradesh,Vizianagaram,INC
PEERUBANDI PRAKASH RAO,Bahujan Samaj Party,8038,0.62,Andhra Pradesh,Vizianagaram,BSP
VELURI VENKATA TRINADHARAO,Independent,4152,0.32,Andhra Pradesh,Vizianagaram,IND
ALLU SRIRAMULU,Independent,3401,0.26,Andhra Pradesh,Vizianagaram,IND
SIYYADULA YELLA RAO,Independent,3107,0.24,Andhra Pradesh,Vizianagaram,IND
SRINIVASA RAO SAMBHANA,Yuga Thulasi Party,1761,0.14,Andhra Pradesh,Vizianagaram,YTP
MARISERLA KRISHNAMURTHY NAIDU,Independent,1629,0.13,Andhra Pradesh,Vizianagaram,IND
VANGAPANDU MAHESWARA RAO,Naba Bharata Nirmana Seva Party,1553,0.12,Andhra Pradesh,Vizianagaram,NBNSP
CHINNAM ARUNA KUMAR,Jaibhim Rao Bharat Party,1411,0.11,Andhra Pradesh,Vizianagaram,JRBP
ATCHIYYA NAIDU SAMIREDDY,Samajwadi Party,1070,0.08,Andhra Pradesh,Vizianagaram,SP
ADINARAYANA TADDI,Independent,856,0.07,Andhra Pradesh,Vizianagaram,IND
P V A ANANDA SAGAR,Independent,791,0.06,Andhra Pradesh,Vizianagaram,IND
SAKHINETI ANANTHA RAJU,Pyramid Party of India,725,0.06,Andhra Pradesh,Vizianagaram,PPI
NOTA,None of the Above,23250,1.79,Andhra Pradesh,Vizianagaram,NA
TAPIR GAO,Bharatiya Janata Party,145581,45.01,Arunachal Pradesh,Arunachal East,BJP
BOSIRAM SIRAM,Indian National Congress,115160,35.6,Arunachal Pradesh,Arunachal East,INC
TAMAT GAMOH,Independent,27603,8.53,Arunachal Pradesh,Arunachal East,IND
SOTAI KRI,Independent,14213,4.39,Arunachal Pradesh,Arunachal East,IND
OMAK NITIK,Independent,9369,2.9,Arunachal Pradesh,Arunachal East,IND
BANDEY MILI,Arunachal Democratic Party,6622,2.05,Arunachal Pradesh,Arunachal East,ADP
NOTA,None of the Above,4895,1.51,Arunachal Pradesh,Arunachal East,NA
KIREN RIJIJU,Bharatiya Janata Party,205417,51.38,Arunachal Pradesh,Arunachal West,BJP
NABAM TUKI,Indian National Congress,104679,26.18,Arunachal Pradesh,Arunachal West,INC
TECHI RANA,Independent,33314,8.33,Arunachal Pradesh,Arunachal West,IND
TOKO SHEETAL,Gana Suraksha Party,30530,7.64,Arunachal Pradesh,Arunachal West,GSP
BIMPAK SIGA,Independent,11518,2.88,Arunachal Pradesh,Arunachal West,IND
RUHI TAGUNG,Independent,7821,1.96,Arunachal Pradesh,Arunachal West,IND
LEKI NORBU,Independent,2271,0.57,Arunachal Pradesh,Arunachal West,IND
TANIA JUNE,Independent,1958,0.49,Arunachal Pradesh,Arunachal West,IND
NOTA,None of the Above,2296,0.57,Arunachal Pradesh,Arunachal West,NA
PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,860113,51.02,Assam,Barpeta,AGP
DEEP BAYAN,Indian National Congress,637762,37.83,Assam,Barpeta,INC
MANORANJAN TALUKDAR,Communist Party of India (Marxist),96138,5.7,Assam,Barpeta,CPI (M)
ABUL KALAM AZAD,All India Trinamool Congress,16432,0.97,Assam,Barpeta,AITC
DEWAN MOHIBUL ISLAM,Independent,9941,0.59,Assam,Barpeta,IND
SAMEJ UDDIN,Bodoland Peoples Front,9692,0.57,Assam,Barpeta,BPF
DULU AHMED,Independent,9338,0.55,Assam,Barpeta,IND
MATIAR RAHMAN,Independent,7935,0.47,Assam,Barpeta,IND
JAGANNATH RAY,Independent,5548,0.33,Assam,Barpeta,IND
SHAJAHAN ALI KHAN,Voters Party International,4448,0.26,Assam,Barpeta,VPI
AYNAL HAQUE,Independent,3192,0.19,Assam,Barpeta,IND
CHITRALEKHA DAS,Socialist Unity Centre Of India (COMMUNIST),3131,0.19,Assam,Barpeta,SUCI (C)
AMZAD ALI,Republican Party of India (Athawale),2679,0.16,Assam,Barpeta,RPI (A)
ABUBAKKAR SIDDIQUE,Rashtriya Ulama Council,2477,0.15,Assam,Barpeta,RUC
NOTA,None of the Above,17117,1.02,Assam,Barpeta,NA
DILIP SAIKIA,Bharatiya Janata Party,868387,47.95,Assam,Darrang-Udalguri,BJP
MADHAB RAJBANGSHI,Indian National Congress,539375,29.78,Assam,Darrang-Udalguri,INC
DURGADAS BORO,Bodoland Peoples Front,310574,17.15,Assam,Darrang-Udalguri,BPF
DANIEL MARDI,Independent,14291,0.79,Assam,Darrang-Udalguri,IND
AROON BAROOA,Bharatheeya Jawan Kisan Party,12563,0.69,Assam,Darrang-Udalguri,BJKP
SWARNA DEVI,Gana Suraksha Party,11112,0.61,Assam,Darrang-Udalguri,GSP
LALIT PEGU,Voters Party International,10915,0.6,Assam,Darrang-Udalguri,VPI
JITENDRA CHALIHA,Socialist Unity Centre Of India (COMMUNIST),7452,0.41,Assam,Darrang-Udalguri,SUCI (C)
ABUL KASEM,Republican Party of India (Athawale),4973,0.27,Assam,Darrang-Udalguri,RPI (A)
BIREN BASAK,Bharatiya Gana Parishad,4623,0.26,Assam,Darrang-Udalguri,BGP
ABDUL HAMED,Rashtriya Ulama Council,3731,0.21,Assam,Darrang-Udalguri,RUC
NOTA,None of the Above,23204,1.28,Assam,Darrang-Udalguri,NA
RAKIBUL HUSSAIN,Indian National Congress,1471885,59.99,Assam,Dhubri,INC
MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,459409,18.72,Assam,Dhubri,AIUDF
ZABED ISLAM,Asom Gana Parishad,438594,17.88,Assam,Dhubri,AGP
S. M. JIAUL HAQUE,Bharatiya Gana Parishad,12106,0.49,Assam,Dhubri,BGP
FARUK KHAN,Independent,10994,0.45,Assam,Dhubri,IND
BISWAJIT RAY,Independent,7703,0.31,Assam,Dhubri,IND
ALAKESH ROY,Independent,6990,0.28,Assam,Dhubri,IND
